Trial number,Protocol code,Title of the trial,Overall trial status,Location(s) and recruitment status,Age group,Age range secondary identifier,Gender,Number of participants enrolled,Trial region,Medical conditions,Therapeutic area,Trial phase,Product,Primary endpoint,Secondary endpoints,Decision date,Start date,End date,Global end of the trial,Trial results,Sponsor/Co-Sponsors,Sponsor type,Last updated
2023-507906-15-00,COMB157G2399,"An open-label, single arm, multi-center extension study evaluating long-term safety, tolerability and effectiveness of ofatumumab in subjects with relapsing multiple sclerosis (RMS)","Ongoing, recruitment ended","Germany:Ongoing, recruitment ended, Latvia:Ongoing, recruitment ended, Norway:Ongoing, recruitment ended, Belgium:Ongoing, recruitment ended, Netherlands:Ongoing, recruitment ended, Hungary:Ongoing, recruitment ended, Portugal:Ongoing, recruitment ended, Poland:Ongoing, recruitment ended, Spain:Ongoing, recruitment ended, Lithuania:Ongoing, recruitment ended, Slovakia:Ongoing, recruitment ended, Austria:Ongoing, recruitment ended, Sweden:Ongoing, recruitment ended, Czechia:Ongoing, recruitment ended, Bulgaria:Ongoing, recruitment ended, Finland:Ongoing, recruitment ended, Croatia:Ongoing, recruitment ended, France:Ongoing, recruitment ended, Denmark:Ongoing, recruitment ended, Estonia:Ongoing, recruitment ended, Greece:Ongoing, recruitment ended",18-64 years,N/A,"Female, Male",963,In both EEA and non-EEA,Relapsing multiple sclerosis (RMS),"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"BOOSTRIX, suspension injectable en seringue préremplie Vaccin diphtérique, tétanique et coquelucheux (acellulaire multicomposé), (adsorbé, à teneur réduite en antigènes), Pneumovax 23 oldatos injekció Pneumococcus-poliszacharid vakcina, PNEUMOVAX solution injectable en flacon Vaccin pneumococcique polyosidique, Boostrix suspensión inyectable en jeringa precargada Vacuna antidiftérica, antitetánica y antitos ferina (componente acelular) (adsorbida, contenido antigénico reducido), BOOSTRIX, suspension injectable en seringue préremplie Vaccin diphtérique, tétanique et coquelucheux (acellulaire multicomposé), (adsorbé, à teneur réduite en antigènes), Pneumovax 23 oldatos injekció előretöltött fecskendőben Pneumococcus-poliszacharid vakcina, Pneumovax 23 oldatos injekció előretöltött fecskendőben Pneumococcus-poliszacharid vakcina, PNEUMOVAX 23 Injektionslösung in einer Durchstechflasche Pneumokokken-Polysaccharid-Impfstoff, Boostrix* Diphtherie-Tetanus-Pertussis (azellular)-Kombinationsimpfstoff zur Auffrischimpfung, Pneumovax 23 oldatos injekció előretöltött fecskendőben Pneumococcus-poliszacharid vakcina, Boostrix, suspenzija za injekciju u napunjenoj štrcaljki, cjepivo protiv difterije, tetanusa i pertusisa (nestanicno, komponentno), adsorbirano, smanjenog(ih) sadržaja antigena, Flucelvax Tetra - suspension for injection in pre-filled syringe Influenza vaccine (surface antigen, inactivated, prepared in cell cultures), Pneumovax 23 oldatos injekció előretöltött fecskendőben Pneumococcus-poliszacharid vakcina, Kesimpta 20 mg solution for injection in pre-filled pen, PNEUMOVAX 23 Solución inyectable en vial Vacuna antineumocócica de polisacáridos, Flucelvax Tetra - suspension for injection in pre-filled syringe
Influenza vaccine (surface antigen, inactivated, prepared in cell cultures), PNEUMOVAX 23 Szczepionka przeciw pneumokokom, polisacharydowa, roztwór do wstrzykiwań, PNEUMOVAX solution injectable en flacon Vaccin pneumococcique polyosidique, Kesimpta 20 mg solution for injection in pre-filled pen, Pneumovax 23 oldatos injekció előretöltött fecskendőben Pneumococcus-poliszacharid vakcina, Boostrix Injektionssuspension in einer Fertigspritze Diphtherie-, Tetanus- und Pertussis (azellulär, aus Komponenten)-Adsorbatimpfstoff (mit reduziertem Antigengehalt), Boostrix zawiesina do wstrzykiwań w ampułko-strzykawce|Szczepionka przeciw błonicy, tężcowi i krztuścowi (bezkomórkowa, złożona), adsorbowana, o|zmniejszonej zawartości antygenów, Boostrix szuszpenziós injekció előretöltött fecskendőben diphtheria, tetanus és pertussis (acelluláris összetevő) vakcina (adszorbeált, csökkentett antigén tartalmú), Pneumovax 23 otopina za injekciju u napunjenoj štrcaljki Cjepivo protiv pneumokoka, polisaharidno, Boostrix szuszpenziós injekció eloretöltött fecskendoben diphtheria, tetanus és pertussis (acelluláris összetevo) vakcina (adszorbeált, csökkentett antigén tartalmú), Prevenar 13 suspension for injection in single dose vial pneumococcal polysaccharide conjugate vaccine (13-valent, adsorbed), PNEUMOVAX solution injectable en flacon Vaccin pneumococcique polyosidique, Pneumovax 23 oldatos injekció előretöltött fecskendőben Pneumococcus-poliszacharid vakcina, Boostrix szuszpenziós injekció előretöltött fecskendőben diphtheria, tetanus és pertussis (acelluláris összetevő) vakcina (adszorbeált, csökkentett antigén tartalmú), Pneumovax 23 oldatos injekció Pneumococcus-poliszacharid vakcina, BOOSTRIX, suspension injectable en seringue préremplie Vaccin diphtérique, tétanique et coquelucheux (acellulaire multicomposé), (adsorbé, à teneur réduite en antigènes)","Proportion of subjects with adverse events, Proportion of subjects with laboratory, or vital signs results meeting abnormal criteria, Proportion of subjects with electrocardiogram (ECG) meeting abnormal criteria [through Week 240 (EOS)], Proportion of subjects meeting predefined criteria in Columbia Suicide Severity Rating Scale (C SSRS) [through Week 240/EOS]","Through Week 240/EOS: • Annualized Relapse Rate (ARR), Through Week 240/EOS: • Time to first relapse, Through Week 240/EOS: • Time to 3-month Confirmed Disability Worsening (3mCDW), Through Week 240/EOS: • Time to 6-month Confirmed Disability Worsening (6mCDW), Through Week 240/EOS: • Time to 6-month Confirmed Disability Improvement (6mCDI), Through Week 240/EOS: • Time to 12-month Confirmed Disability Improvement (12mCDI), Through Week 240/EOS: • Time to 24-month Confirmed Disability Improvement (24mCDI), Through Week 240/EOS: • Time to 6-month Confirmed Disability Improvement (6mCDI) sustained until End of Study (EOS), Through Week 240/EOS: • Change in Expanded Disability Status Scale (EDSS), Through Week 240/EOS: • Time to 6-month confirmed 4-point worsening on Symbol Digit Modalities Test (SDMT), Through Week 240/EOS: • Change in SDMT, Through Week 240/EOS: • Annualized T2 lesion rate, Through Week 240/EOS: • Number of T1 Gd-enhancing lesions per Magnetic Resonance Image (MRI) scan, Through Week 240/EOS: • Annual rate of change in brain volume, Through Week 240/EOS: • Change in neurofilament light chain (NfL) concentration in serum, Through Week 240/EOS: • Relationship between NFL and disease activity, disease course and treatment response, Through Week 240/EOS: • Patient Reported Outcomes (PRO)",19/07/2024,30/01/2019,N/A,N/A,No,Novartis Pharma AG,Pharmaceutical company,19/09/2025
2023-503289-22-00,J3K-MC-KIAB,"An Adaptive Phase 2a/2b, Randomized, Double-Blind, Parallel-Group Study to Investigate the Safety and Efficacy of LY3541860 Compared to Placebo in  Slowing the Occurrence of New T1 Gadolinium-Enhancing Lesions in Adult Participants with Relapsing Multiple Sclerosis","Ongoing, recruiting","Italy:Ongoing, recruiting, Lithuania:Ongoing, recruiting, Germany:Ongoing, recruiting, Poland:Ongoing, recruiting, France:Ongoing, recruiting, Latvia:Ongoing, recruiting, Slovakia:Ongoing, recruiting",18-64 years,N/A,"Female, Male",57,In both EEA and non-EEA,Relapsing Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"0.9% sodium chloride, GADOTERIC ACID",Cumulative Number of New T1 Gadolinium-Enhancing (GdE) Lesions  Cumulative number will be measured by magnetic resonance imaging (MRI) scans,N/A,13/05/2024,05/07/2024,N/A,N/A,No,Eli Lilly & Co.,Pharmaceutical company,12/05/2025
2023-506429-13-00,MN39159,"An Open-Label, Single-Arm 4-Year Study to Evaluate Effectiveness and Safety of Ocrelizumab Treatment in Patients with Progressive Multiple Sclerosis","Ongoing, recruitment ended","Netherlands:Ongoing, recruitment ended, Germany:Ongoing, recruitment ended, Denmark:Ongoing, recruitment ended, Poland:Ongoing, recruitment ended, Czechia:Ended, France:Ongoing, recruitment ended, Italy:Ongoing, recruitment ended","18-64 years, 65+ years",65-84 years,"Female, Male",520,In both EEA and non-EEA,Progressive multiple sclerosis (PMS),"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Ocrevus 300 mg concentrate for solution for infusion, Diphenhydramine Hydrochloride Tablets 50 mg, Paracetamol Accord 1000 mg comprimate efervescente, Ocrevus 300 mg concentrate for solution for infusion, Methylprednisolone 500 mg powder and solvent for solution for injection/infusion","1. Proportion of patients with no evidence of progression (NEP) sustained for at least 24 weeks, 2. Proportion of patients with NEP and no active disease (NEPAD) sustained for at least 24 weeks","1. Change from baseline in cognitive function as measured by the Symbol Digit Modalities Test (SDMT) and the Brief Visuospatial Memory Test – Revised (BVMT-R), 2. Change from baseline in the patient-reported outcomes including Multiple Sclerosis Impact Scale -29, Multiple Sclerosis Walking scale -12 items, ABILHAND-56 Questionnaire, Fatigue Scale for Motor and Cognitive (FSMC) function, SymptoMScreen, 88-item Multiple Sclerosis Spasticity Scale, Numerical Pain Rating Scale, Patient Global Impression of Severity (PGIS) for upper limb, lower limb and cognitive functions, 3. Mean change from baseline in the EDSS score over the course of the study, 4. Time to onset of first confirmed disability progression (as measured by EDSS) sustained for at least 24 and 48 weeks, 5. Time to onset of first >=20% increase in timed 25-foot walk test sustained for at least 24 weeks, 6. Time to onset of first >=20% increase in 9-hole peg test sustained for at least 24 weeks, 7. Proportion of patients with NEP, 8. Proportion of patients with NEPAD, 9. Proportion of patients with confirmed disability improvement (CDI) sustained for at least 24 weeks, 10. Change in the following MRI volumetric measures: whole brain volume, cerebral white matter volume change, cortical gray matter volume, deep grey matter volume, thalamic volumes, whole and regional cerebellar volume, 11. Change in the following lesion and tissue integrity parameters: - Number of new/enlarging T2 lesions and total T2 lesion volume - Number of T1 Gd+ lesions and total volume - Number of T1 lesions and total volume - Gd-enhancing fluid-attenuated inversion-recovery (FLAIR) meningeal lesions, 12. Rate and nature of adverse events, 13. Changes in clinical laboratory results, 14. Rates of study treatment discontinuation due to adverse events, 15. Change in the number of falls and near-falls",18/03/2024,02/05/2018,N/A,N/A,No,F. Hoffmann-La Roche AG,Pharmaceutical company,25/08/2025
2024-514617-35-00,P2-IMU-838-PMS,"P2-IMU-838-PMS - Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate Efficacy, Safety, and Tolerability of IMU-838 in Patients with Progressive Multiple Sclerosis (Calliper)","Authorised, recruiting","Germany:Authorised, recruiting, Czechia:Authorised, recruiting, Netherlands:Authorised, recruiting, Bulgaria:Authorised, recruiting, Romania:Authorised, recruiting, Poland:Authorised, recruiting",18-64 years,N/A,"Female, Male",230,In both EEA and non-EEA,Progressive forms of Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"IMU-838 22.5 mg tablet, IMU-838 45 mg tablet, Placebo for IMU-838 Tablets",Annualized rate of percent brain volume change (PBVC) during MT period.,"Time to 24-week confirmed disability worsening as assessed on a composite of EDSS, 9-Hole Peg Test (9-HPT), or Timed 25-foot Walk (T25-FW) (24wCDW-Comp) during the MT period",12/09/2024,20/12/2021,N/A,N/A,No,Immunic AG,Pharmaceutical company,03/04/2025
2022-501027-25-01,35RC20_9812,TRIO: A prospective randomized Trial of non-inferiority comparing RItuximab versus Ocrelizumab in relapsing-remitting multiple sclerosis.,"Ongoing, recruiting","France:Ongoing, recruiting",18-64 years,N/A,"Female, Male",430,EEA only,"Multiple Sclerosis, Multiple Sclerosis","[""Diseases [C] - Nervous System Diseases [C10]""]",Phase III and phase IV (Integrated),"Rituximab, -, Ocrevus 300 mg concentrate for solution for infusion",% of patients without disease activity at 2 years.  Disease activity is defined as: -	 At least one relapse between baseline and M24 -	OR MRI activity defined as Gd enhancing lesions at M6 or as the appearance of at least one new T2 lesion between M6 and M24,"Clinical criteria - Relapses: annualized relapse rate, mean time of onset of the first relapse, % of patients without relapse at M24, - Disability progression: % of patients without disability progression at M24 Disability progression will be defined as an increase of 1.5 pt if baseline EDSS=0, 1pt EDSS (if baseline 1 ≤ EDSS<6), or an increase of 0.5pt if baseline EDSS is ≥ 6; confirmed at 6 months.  MRI Criteria -	Mean number of Gd enhancing lesions at M6;  -	% of patients with at least one Gd, MRI Criteria -	Mean number of Gd enhancing lesions at M6;  -	% of patients with at least one Gd enhancing lesion(s) at M6; -	Mean number of new or enlarging brain T2 lesion from M6 to M24; % of patients with one or more new or enlarging brain T2 lesions from M6 to M24;, Quality of life  - Change in the EQ5D-5L score from baseline to  every six month of follow up until M24 - Change in the MusiQOL score from baseline to M12 and baseline to M24., Patients experience - Change in the Musicare score from baseline to M12 and baseline to M24., Medico-economic  Incremental Cost-Effectiveness Ratio (ICER) defined as the cost for QALY gained in “ocrelizumab group” versus “rituximab group” at 24 months., Safety - The number of each adverse event and number of severe adverse events will be compared between the two groups.",02/12/2022,01/06/2023,N/A,N/A,No,CHU De Rennes,Hospital/Clinic/Other health care facility,22/04/2024
2024-511168-10-00,KYV101-007,"A Phase 2, Open-Label, Randomized, Multicenter Study of KYV101, an Autologous Fully Human Anti-CD19 Chimeric Antigen Receptor T Cell (CD19 CAR T) Therapy, in Subjects with Refractory Primary and Secondary Progressive Multiple Sclerosis (KYSA-7)","Authorised, recruitment pending","Germany:Authorised, recruitment pending, Italy:Authorised, recruitment pending, Belgium:Authorised, recruitment pending, Austria:Authorised, recruitment pending",18-64 years,N/A,"Female, Male",88,In both EEA and non-EEA,Primary or Secondary Progressive Multiple Sclerosis,"[""Diseases [C] - Immune System Diseases [C20]"",""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"Kesimpta 20 mg solution for injection in pre-filled pen, Ocrevus 300 mg concentrate for solution for infusion, MabThera 500 mg concentrate for solution for infusion, MabThera 100 mg concentrate for solution for infusion, MabThera 100 mg concentrate for solution for infusion, Kesimpta 20 mg solution for injection in pre-filled syringe, Ocrevus 300 mg concentrate for solution for infusion, Kesimpta 20 mg solution for injection in pre-filled syringe, Ocrevus 300 mg concentrate for solution for infusion, MabThera 100 mg concentrate for solution for infusion, Kesimpta 20 mg solution for injection in pre-filled syringe, Kesimpta 20 mg solution for injection in pre-filled pen, KYV-101, Briumvi 150 mg concentrate for solution for infusion, Kesimpta 20 mg solution for injection in pre-filled pen, Kesimpta 20 mg solution for injection in pre-filled syringe, Kesimpta 20 mg solution for injection in pre-filled pen, Kesimpta 20 mg solution for injection in pre-filled pen, Ocrevus 300 mg concentrate for solution for infusion, Ocrevus 300 mg concentrate for solution for infusion, Kesimpta 20 mg solution for injection in pre-filled syringe, Ocrevus 300 mg concentrate for solution for infusion, MabThera 500 mg concentrate for solution for infusion, Briumvi 150 mg concentrate for solution for infusion, Briumvi 150 mg concentrate for solution for infusion, Briumvi 150 mg concentrate for solution for infusion, Ocrevus 300 mg concentrate for solution for infusion, Kesimpta 20 mg solution for injection in pre-filled pen, Ocrevus 300 mg concentrate for solution for infusion, Briumvi 150 mg concentrate for solution for infusion, Kesimpta 20 mg solution for injection in pre-filled syringe, Kesimpta 20 mg solution for injection in pre-filled syringe, Briumvi 150 mg concentrate for solution for infusion, Kesimpta 20 mg solution for injection in pre-filled syringe, MabThera 100 mg concentrate for solution for infusion, Briumvi 150 mg concentrate for solution for infusion, Kesimpta 20 mg solution for injection in pre-filled pen, MabThera 500 mg concentrate for solution for infusion, MabThera 500 mg concentrate for solution for infusion, Kesimpta 20 mg solution for injection in pre-filled pen, Briumvi 150 mg concentrate for solution for infusion","1. Confirmed disability progression, defined as an increase in the EDSS","2a. Incidence and severity of AEs, AESIs, and SAEs, 2b1. Composite Confirmed Disability Progression (CCPD) defined as disability progression measured by EDSS, 2b2. Impact on clinical disability as defined by the number of  days from randomization to the primary outcome., 2b3. Disability as measured by EDSS change from pretreatment baseline to end of study., 2b4. Annualized relapse rate (ARR) in patients with active SPMS (relapse in the past 2 years or active lesions on MRI), 2b5. Comparison of end-of-study brain MRI compared to baseline scan in T2 burden of demyelinating disease, baseline to end of study, including whole brain volume and grey matter volume changes from treatment baseline to end of study., 2b6. For the CSF consenting subset, comparison of interval changes in unmatched intrathecal oligoclonal bands treatment from baseline to end of study., 2c. CAR-positive T-cell counts, CAR transgene level, B-cell counts over time, systemic cytokine concentrations., 2d. Presence of anti-KYV-101 antibodies.",01/10/2024,N/A,N/A,N/A,No,Kyverna Therapeutics Inc.,Pharmaceutical company,07/10/2024
2024-514495-41-00,EFC16035,"A Phase 3, randomized, double-blind, efficacy and safety study comparing SAR442168 to placebo in participants with primary progressive multiple sclerosis (PERSEUS)","Ongoing, recruitment ended","Belgium:Ongoing, recruitment ended, France:Ongoing, recruitment ended, Austria:Ongoing, recruitment ended, Croatia:Ongoing, recruitment ended, Portugal:Ongoing, recruitment ended, Hungary:Ongoing, recruitment ended, Poland:Ongoing, recruitment ended, Netherlands:Ongoing, recruitment ended, Italy:Ongoing, recruitment ended, Bulgaria:Ongoing, recruitment ended, Denmark:Ongoing, recruitment ended, Estonia:Ongoing, recruitment ended, Spain:Ongoing, recruitment ended, Germany:Ongoing, recruitment ended, Czechia:Ongoing, recruitment ended, Greece:Ongoing, recruitment ended, Sweden:Ongoing, recruitment ended, Norway:Ongoing, recruitment ended, Romania:Ongoing, recruitment ended",18-64 years,N/A,"Female, Male",487,In both EEA and non-EEA,Primary Progressive Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Tolebrutinib, mannitol and microcrystalline cellulose",6-month composite Confirmed Disability Progression (cCDP),"6-month Confirmed Disability Progression  (CDP), 3-month composite Confirmed Disability  Progression (cCDP), Change in T2 hyperintense lesions by MRI, Time to onset of confirmed disability  improvement (CDI), Percent change in Brain volume (BV), Change in cognitive function as assessed by  SDMT, Change in cognitive function as assessed by  CVLT-II, Change in Multiple Sclerosis Quality of Life, Safety and Tolerability, Population pharmacokinetics, Change in plasma neurofilament light chain  (NfL), Change in lymphocyte phenotype subsets, Changes in serum Immunoglobulin level, Change in serum chitinase-3 like protein 1  (Chi3L1)",17/07/2024,04/11/2020,N/A,N/A,No,Genzyme Corp.,Pharmaceutical company,22/09/2025
2024-511686-11-00,CBAF312D2301,"A 2-year randomized, 3-arm, double-blind, non-inferiority study comparing the efficacy and safety of ofatumumab and siponimod versus fingolimod in pediatric patients with multiple sclerosis followed by an open-label extension","Ongoing, recruitment ended","Croatia:Ongoing, recruitment ended, Romania:Ended, Austria:Ongoing, recruitment ended, Estonia:Ongoing, recruitment ended, Latvia:Ongoing, recruitment ended, Spain:Ongoing, recruitment ended, Portugal:Ongoing, recruitment ended, Poland:Ongoing, recruitment ended, Slovakia:Ongoing, recruitment ended, Italy:Ongoing, recruitment ended, Germany:Ongoing, recruitment ended, Belgium:Ongoing, recruitment ended, France:Ongoing, recruitment ended",0-17 years,"2-5 years, 6-11 years, 12-17 years","Female, Male",62,In both EEA and non-EEA,Multiple Sclerosis in pediatric patients,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"FINGOLIMOD HYDROCHLORIDE, BAF312, OFATUMUMAB, BAF312, Placebo to Ofatumumab (OMB157) [Kesimpta], BAF312, BAF312, Placebo to Siponimod (BAF312) [Mayzent] film-coated tablets, BAF312, FINGOLIMOD HYDROCHLORIDE, Placebo to Fingolimod (FTY720) [Gilenya] 0.25mg & 0.5mg",Annualized relapse rate (ARR of confirmed relapses),"Annualized relapse rate (ARR of confirmed relapses), Number of new or newly enlarging T2 lesions on MRI per year (annualized T2 lesion rate), Neurofilament light chain (NfL) concentration in serum, Ofatumumab and siponimod and (metabolite M17) plasma concentrations, Proportion of participants with anti-ofatumumab antibodies, Adverse events, Columbia Suicide Severity Rating Scale (C-SSRS), ECG, laboratory and ophthalmological data, pulmonary function tests and vital signs",09/07/2024,05/10/2021,N/A,N/A,No,Novartis Pharma AG,Pharmaceutical company,26/05/2025
2024-514287-84-00,DanNORMS,"Danish non-inferiority study of ocrelizumab and rituximab in MS: A randomized study comparing the efficacy of ocrelizumab
and rituximab in active multiple sclerosis","Ongoing, recruitment ended","Denmark:Ongoing, recruitment ended","65+ years, 18-64 years",65-84 years,"Female, Male",600,EEA only,Multiple sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Rixathon 500 mg concentrate for solution for infusion, Ocrevus 300 mg concentrate for solution for infusion, Ruxience 500 mg concentrate for solution for infusion",Percentage of patients with no new or enlarging T2 white matter lesions from month 6 to month 24,"Percentage of patients with 6-month confirmed disease worsening (CDW) in EDSS from baseline to month 24 (m24) • ARR based on cumulative number of confirmed relapses from baseline to m24 • Percentage of patients with 6-months CDW in T25FW, 9HPT and SDMT from baseline to m24 • Change in MSIS-29, FSMC, EQ-5D from baseline to m24 • Percentage of patients without GdEL on m6 and m24 scans • Change in T2 and T1 white matter lesion volume from m6 to m24 •  Difference in serum NFL from baseline to m24",05/08/2024,28/04/2021,N/A,N/A,No,Rigshospitalet,Hospital/Clinic/Other health care facility,05/08/2024
2024-516628-32-00,35RC17_8842_STOPISEP,STOP-I-SEP_Disease modifying therapies withdrawal in inactive Secondary Progressive Multiple Sclerosis patients older than 50 years,"Ongoing, recruitment ended","France:Ongoing, recruitment ended","18-64 years, 65+ years",N/A,"Female, Male",250,EEA only,Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"TERIFLUNOMIDE, INTERFERON BETA-1A, CYCLOPHOSPHAMIDE, METHOTREXATE, INTERFERON BETA-1A, INTERFERON BETA-1B, DIMETHYL FUMARATE, MYCOPHENOLATE MOFETIL, RITUXIMAB, PEGINTERFERON BETA-1A, CYCLOPHOSPHAMIDE, MYCOPHENOLATE MOFETIL, INTERFERON BETA-1A, METHOTREXATE, AZATHIOPRINE, OCRELIZUMAB, GLATIRAMER ACETATE, GLATIRAMER ACETATE, CYCLOPHOSPHAMIDE","Percentage of patients experiencing disability progression (confirmed at 6 months) at 2 years.   Disability progression will be defined as an increase in the EDSS of at least 1 point if the baseline EDSS was 5.5 or less, or 0.5 point if the Baseline EDSS was more than 5.5.","Disability - Time from DMT withdrawal to disability progression confirmed at 6 months;   - Change in a composite disability progression score (increase in the EDSS score, or an increase in the time to perform the timed 25-foot walk ≥ 20%, or an increase in the time to complete the 9-hole peg test ≥ 20%) confirmed at 6 months; - Change in the SDMT score from baseline to 2-year;, Relapses - Percentage of patients with at least one relapse from baseline to 2-year; - Annualized relapse rate during 2-year; - Time from DMT withdrawal to first relapse;, MRI -	 Percentage of patients with one or more new or enlarging brain MRI lesions from baseline to 2-year; -	 Percentage of patients with at least one gadolinium enhancing lesion(s) at 6 months, and/or 1 year,and/or 2-year; -	 Change in brain volume from baseline to 2-year;, Disease free survival -	 Percentage of patients with no evidence of disease activity (NEDA 3: no clinical relapse, no MRI activity, no disability progression) at 2-year; -	 Percentage of patients who resume DMT in the treatment withdrawal group at 2-year, Quality of life -	 Change in the SEP-59 score from baseline to 2-year; -	Change in the EuroQOL EQ-5D from baseline to 2-year;, Medico economic impact -	 Incremental Cost Effectiveness Ratio (ICER) defined as the cost for QALY gained in “treatment withdrawal group” versus “treatment continued group”.",10/10/2024,24/01/2019,N/A,N/A,No,Centre Hospitalier Universitaire De Rennes,Hospital/Clinic/Other health care facility,23/05/2025
2023-507541-29-00,CAMINA,EFFICACY AND SAFETY OF CROMOGLYCATE AS A NEW SYMPTOMATIC TREATMENT IN PATIENTS WITH MULTIPLE SCLEROSIS,"Ongoing, recruiting","Spain:Ongoing, recruiting",18-64 years,N/A,"Female, Male",120,EEA only,Multiple sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"CROMOGLICIC ACID, Placebo","Modified Fatigue Impact Scale (MFIS) at the end-of-treatment visit (V4) with respect to baseline., Fatigue Severity Scale (FSS)., Patient-reported outcome measurement information system for fatigue in multiple sclerosis (PROMIS-SF-Fatigue).","Actionable Bladder Symptom Screening Tool (ABSST)., Urinary incontinence questionnaire (ICIQ-SF)., Sandvik incontinence severity test., Bladder Control Scale (BLCS)., International Prostate Symptom Scale (IPSS)., Questionnaire on the specific impact of urinary problems on quality of life (Qualiveen), SF-36 quality of life questionnaires., EQ-5D quality of life questionnaire., Hospital Anxiety and Depression Scale (HADS)., Beck Depression Inventory (BDI)., Expanded Disability Status Scale (EDSS)., Test of the 25 steps., Test of the 9 sticks., Time of multiple sclerosis progression., New lesions evaluated by magnetic resonance imaging, Presence of global cerebral atrophy, thalamic atrophy and cortical atrophy, and correlation with changes in fatigue., Presence of mutation 816V c-kit gene, cytokine levels and activation of lymphocyte populations and correlation with changes in fatigue., Axonal damage and macular volume assessed by optical coherence tomography., Modified ASHWORTH scale., Bowel Control Scale (BWCS)., Questionnaire on intimacy and sexuality in MS (MSISQ-19)., Work Productivity and Activity Impairment Scale (WPAI)., Patient symptom scales., Symbols and Digits Test (SDMT)., Perineal and perianal sensitivity., Bulbocavernosus reflex., Anal sphincter tone., In women: presence of prolapses., Postvoid residue., Peak flow in uroflowmetry., Detrusor contractions in cistonanometry., Urination difficulty assessed by flow pressure test (maximum flow)., PAD test value in 24 hours., Voiding diary: Urinated volume, urgency, urine leakage, urge incontinence, stress incontinence, moulting, and drinking., Treatment-related adverse events, Analytical values ​​of complete blood count, biochemistry, hepatorenal and thyroid profile, serum tryptase, urine strip, systematic and urine sediment and pregnancy test., Concomitant medication., Modifying treatment., Modified fatigue impact scale (MFIS) at each treatment visit with respect to baseline.",13/12/2023,01/10/2024,N/A,N/A,No,Fundacion Para La Investigacion Biomedica Del Hospital Clinico San Carlos,Laboratory/Research/Testing facility,30/06/2025
