NCTId,BriefTitle,OfficialTitle,OverallStatus,StartDate,PrimaryCompletionDate,CompletionDate,LastUpdatePostDate,StudyFirstPostDate,StudyType,Phase,EnrollmentCount,EnrollmentType,LeadSponsorName,LeadSponsorClass,Collaborators,CollaboratorClasses,Conditions,Keywords,LocationCountry,LocationCity,LocationState,TotalLocations,InterventionNames,InterventionTypes,PrimaryOutcomeMeasures,SecondaryOutcomeMeasures,HasResults,ResultsFirstPostDate
NCT04895202,Swiss Study of the Impact of Mayzent on SPMS Patients in a Long-term Non-interventional Study,Swiss Study of the Impact of Mayzent (Siponimod) on Secondary Progressive Multiple Sclerosis Patients in a Long-term Non-interventional Study,TERMINATED,2021-11-19,2022-12-20,2022-12-20,2023-08-29,2021-05-20,OBSERVATIONAL,,8.0,ACTUAL,Novartis Pharmaceuticals,INDUSTRY,,,Secondary Progressive Multiple Sclerosis With Inflammatory Disease Activity,SPMS|secondary progressive multiple sclerosis|Siponimod|active disease|inflammatory disease activity|disability progression,Switzerland,Zug,Canton of Zug,6,Siponimod,OTHER,Change of expanded disability status scale (EDSS),Proportion of patients with six month confirmed disability progression (CDP) by expanded disability status scale (EDSS)|Proportion of patients with six month confirmed disease progression by symbol digit modalities test (SDMT)|Treatment effect of Siponimod on walking speed as measured by the timed 25 foot walk test (T25FWT)|Treatment effect of Siponimod on quality of life based on EQ-5D|Treatment effect of Siponimod on fatigue measured by Fatigue Scale for Motor and Cognitive Functions (FSMC)|Treatment effect of Siponimod on fatigue measured by Beck's depression inventory (BDI)|Treatment effect of Siponimod on fatigue measured by Epworth sleepiness scale (ESS) questionnaire,False,
NCT02628834,Acute Effect of Fascial Mobilization on Gait in Patients With Multiple Sclerosis,Investigating the Acute Effect of Fascial Mobilization on Dynamic Walking Parameters in Patients With Multiple Sclerosis: A Crossover Controlled Group Study,UNKNOWN,2015-12,2016-11,2016-12,2015-12-11,2015-12-11,INTERVENTIONAL,NA,20.0,ESTIMATED,Hacettepe University,OTHER,,,Multiple Sclerosis,Loading|Gait|Multiple Sclerosis|Manual Therapy,,,,0,Fascial mobilization|Stretching Exercise,OTHER|OTHER,Pedobarography for assessment of foot pressure while standing and walking.,Modified Ashworth Scale for evaluation of severity of involuntary muscle contraction,False,
NCT01817166,Efficacy of Cholecalciferol (Vitamin D3) for Delaying the Diagnosis of MS After a Clinically Isolated Syndrome,"Multicentric, Randomized, Double-blind Versus Placebo Study Evaluating the Efficacy of Treatment With Cholecalciferol (Vitamin D3) for Delaying the Diagnosis of Multiple Sclerosis (MS) After a Clinically Isolated Syndrome (CIS). Comparison of Conversion Rates After 2 Years.",COMPLETED,2013-07-16,2023-01-04,2023-01-04,2024-01-12,2013-03-22,INTERVENTIONAL,PHASE3,316.0,ACTUAL,Centre Hospitalier Universitaire de Nīmes,OTHER,,,Multiple Sclerosis,cholecalciferol|vitamin D|immune disease|clinically isolated syndrome,France,Amiens,,33,Vitamin D|Placebo|Imaging|Lumbar puncture|Blood sampling|Urine samples,DRUG|DRUG|OTHER|BIOLOGICAL|BIOLOGICAL|BIOLOGICAL,Conversion to MS yes/no,"Number of relapse episodes (number per year)|number of new brain lesions found in FLAIR MRI or medullary lesions found in T2 MRI|number of new brain lesions found in FLAIR MRI or medullary lesions found in T2 MRI|number of new brain lesions found in FLAIR MRI or medullary lesions found in T2 MRI|Number of new T1 lesions taking on Gadolinium highlighting|Number of new T1 lesions taking on Gadolinium highlighting|Number of new T1 lesions taking on Gadolinium highlighting|Number of hyposignal T1 lesions (black holes)|Number of hyposignal T1 lesions (black holes)|Number of hyposignal T1 lesions (black holes)|Lesional burden in mm^3 for each cerebral MRI|Lesional burden in mm^3 for each cerebral MRI|Lesional burden in mm^3 for each cerebral MRI|Total number of Gadolinium highlighted lesions on T1 images|Total number of Gadolinium highlighted lesions on T1 images|Total number of Gadolinium highlighted lesions on T1 images|Normalized cerebral volume (SIENAX) obtained from a T13D sequence|Normalized cerebral volume (SIENAX) obtained from a T13D sequence|Normalized cerebral volume (SIENAX) obtained from a T13D sequence|Change in global cerebral volume (mm^3)|EDSS score, including all subscores|EDSS score, including all subscores|EDSS score, including all subscores|EDSS score, including all subscores|EDSS score, including all subscores|score for the PASAT 3 seconds section of the MSFC score|score for the PASAT 3 seconds section of the MSFC score|score for the PASAT 3 seconds section of the MSFC score|score for the PASAT 3 seconds section of the MSFC score|score for the PASAT 3 seconds section of the MSFC score|EQ5D questionnaire|EQ5D questionnaire|EQ5D questionnaire|EQ5D questionnaire|SF36 questionnaire|SF36 questionnaire|SF36 questionnaire|SF36 questionnaire|FSMC fatigue scale|FSMC fatigue scale|FSMC fatigue scale|FSMC fatigue scale|TLS-QOL10 questionnaire|TLS-QOL10 questionnaire|TLS-QOL10 questionnaire|TLS-QOL10 questionnaire|TLS-Coping10 questionnaire|TLS-Coping10 questionnaire|TLS-Coping10 questionnaire|TLS-Coping10 questionnaire|HADS questionnaire|HADS questionnaire|HADS questionnaire|HADS questionnaire|Presence/absence of adverse events|Presence/absence of adverse events|Presence/absence of adverse events|Presence/absence of adverse events|Presence/absence of adverse events|Presence/absence of adverse events|25(OH)D2+D3 serum level (nmol/l)|25(OH)D2+D3 serum level (nmol/l)|25(OH)D2+D3 serum level (nmol/l)|25(OH)D2+D3 serum level (nmol/l)|25(OH)D2+D3 serum level (nmol/l)|25(OH)D2+D3 serum level (nmol/l)|25(OH)D2+D3 serum level (nmol/l)|Calciuria/creatinuria|Calciuria/creatinuria|Calciuria/creatinuria|Calciuria/creatinuria|Calciuria/creatinuria|Calciuria/creatinuria|Calciuria/creatinuria|Delay until conversion to MS",False,
NCT06083753,Study to Evaluate the Safety and Efficacy of PIPE-307 in Subjects with Relapsing-Remitting Multiple Sclerosis,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Dose-Ranging Multicenter Study to Evaluate the Safety and Efficacy of Oral PIPE-307 As an Adjunctive Treatment in Subjects with Relapsing-Remitting Multiple Sclerosis",ACTIVE_NOT_RECRUITING,2023-11-06,2025-08,2025-09,2025-01-07,2023-10-16,INTERVENTIONAL,PHASE2,168.0,ESTIMATED,Contineum Therapeutics,INDUSTRY,,,Relapsing Remitting Multiple Sclerosis,Relapsing Remitting Multiple Sclerosis|PIPE 307|Multiple Sclerosis,United States,Phoenix,Arizona,21,PIPE-307 Dose A|PIPE-307 Dose B|Placebo,DRUG|DRUG|DRUG,Treatment-emergent adverse events (TEAE)|Change in binocular 2.5% low contrast letter acuity (LCLA),Percentage of subjects with >/=5-letter gain in binocular 2.5% LCLA|Change in monocular 2.5% LCLA|Number of subjects with at least a 15% change in disability with the Timed 25-Foot Walk Test (T25WT)|Number of subjects with at least a 15% change in disability with the Nine-Hole Peg Test (9HPT)|Number of subjects with at least a 15% change in disability with the Symbol Digital Modality Test (SDMT)|Change in magnetic resonance imaging (MRI) measures of myelination and MS disease activity|Change in serum neurofilament light chain (NfL)|Pharmacokinetics: Change in blood concentration levels of PIPE-307,False,
NCT04697407,IL-2 Signaling and Polarization of Regulatory LBs: Involvement in Multiple Sclerosis,BREGS - IL-2 Signaling and Polarization of Regulatory LBs: Involvement in Multiple Sclerosis,COMPLETED,2021-03-23,2023-05-23,2023-05-23,2023-05-24,2021-01-06,INTERVENTIONAL,NA,95.0,ACTUAL,Rennes University Hospital,OTHER,,,Multiple Sclerosis,,France,Rennes,,1,Blood sampling|CSF sampling,BIOLOGICAL|BIOLOGICAL,Frequency of Bregs in blood of MS patients,"Frequency of Bregs in the CSF of MS patients|Comparison of IL-2, soluble IL2RA, IL-10, IL-21 and IL-5 protein concentrations|Comparison of the concentrations in Igs",False,
NCT06095271,MultiSCRIPT-Cycle 1: Personalized Medicine in Multiple Sclerosis - Pragmatic Platform Trial Embedded Within the SMSC,"A Multicenter, Randomized Pragmatic Platform Trial Embedded Within the Swiss Multiple Sclerosis Cohort (SMSC) on Neurofilament Light Chain Monitoring Added to Usual Care to Inform Personalized Treatment Decisions in Multiple Sclerosis",ACTIVE_NOT_RECRUITING,2023-02-05,2026-11,2027-05,2025-05-11,2023-10-23,INTERVENTIONAL,NA,920.0,ACTUAL,"University Hospital, Basel, Switzerland",OTHER,,,"Multiple Sclerosis, Relapsing-Remitting",,Switzerland,Basel,Canton of Basel-City,8,serum Neurofilament Filament Light chain (sNfL) monitoring,DIAGNOSTIC_TEST,EDA3 (evidence of disease activity)|Multiple Sclerosis Quality of Life (MSQOL)-54 Instrument,Multiple Sclerosis Quality of Life (MSQOL)-54 Instrument|EDA3 (evidence of disease activity)|EQ-5D-5L|Short form 36 (SF-36)|relapses|disability worsening|New/enlarging T2w lesions|T1w contrast enhancing lesions|Amount of immunosuppressive/immunomodulatory drug treatment,False,
NCT03889639,Dose-finding Study for SAR442168 in Relapsing Multiple Sclerosis,"A Phase 2b Dose-finding Study for SAR442168, a Bruton's Tyrosine Kinase Inhibitor, in Participants With Relapsing Multiple Sclerosis",COMPLETED,2019-03-29,2020-01-02,2020-01-02,2025-09-17,2019-03-26,INTERVENTIONAL,PHASE2,130.0,ACTUAL,Sanofi,INDUSTRY,,,Relapsing Multiple Sclerosis,,United States,Cullman,Alabama,48,SAR442168|Placebo|Locally approved intravenous contrast medium for contrast enhanced magnetic resonance imaging (MRI),DRUG|DRUG|DRUG,Brain Magnetic Resonance Imaging (MRI) Assessment: Number of New Gadolinium (Gd) Enhancing T1-hyperintense Lesions,"Number of New or Enlarging T2 Lesions|Total Number of Gd-enhancing T1-hyperintense Lesions|Number of Participants With Treatment-emergent Adverse Events (TEAEs) and Treatment-emergent Serious Adverse Events (TESAEs): Weeks 1-4 Period|Number of Participants With Treatment-emergent Adverse Events and Treatment-emergent Serious Adverse Events: SAR442168 Treatment Period|Number of Participants With Individual Clinically Relevant Abnormalities in Laboratory Tests (Hematology, Chemistry, Urinalysis), Vital Signs, and Electrocardiograms (ECG)",True,2023-03-08
NCT02720107,Follow up Study of Patients on Fingolimod Who Were Enrolled in the Original Biobank Study (CFTY720DDE01),"Long-term Follow up of Patients With Relapsing-remitting Multiple Sclerosis Enrolled in the Multicenter, Single-arm, Open-label Biobank Study (CFTY720DDE01), to Investigate Changes in Biomarkers After 48 Months of Treatment With 0.5 mg Fingolimod (FTY720)",COMPLETED,2016-05-12,2016-11-14,2016-11-14,2019-02-08,2016-03-25,INTERVENTIONAL,PHASE4,133.0,ACTUAL,Novartis Pharmaceuticals,INDUSTRY,,,Relapsing-remitting Multiple Sclerosis,fingolimod|Biomarker|Multiple sclerosis|Relapsing-remitting multiple sclerosis,Germany,Ostfildern,Baden-Wurttemberg,26,fingolimod,DRUG,Change in T Cells Status (Decrease or Increase) at Month 48 (FAS),"Percentage of Participants With Disability Progression as Measured by Expanded Disability Status Scale (EDSS) (FAS)|Change From Baseline in Disability Progression Assessed With the Expanded Disability Status Scale (EDSS) at Month 6 and Month 48 (FAS)|Change in Immune Status of B Cells, Monocytes and Natural Killer Cells (NK) Cells (FAS)",True,2019-02-08
NCT01615887,Study of Lisdexamfetamine Sulfate to Treat Cognitive Dysfunction in Multiple Sclerosis,Effects of Lisdexamfetamine on Bradyphrenia in Multiple Sclerosis,COMPLETED,2009-11,2011-08,2011-08,2022-09-16,2012-06-11,INTERVENTIONAL,PHASE2,63.0,ACTUAL,State University of New York at Buffalo,OTHER,,,Multiple Sclerosis,,United States,Buffalo,New York,1,lisdexamfetamine sulfate|placebo,DRUG|DRUG,Symbol Digit Modalities Test (SDMT)|Paced Auditory Serial Audition Test (PASAT),California Verbal Learning Test - 2nd Edition|Brief Visuospatial Memory Test - Revised|Vitals|Vitals (Diastolic Blood Pressure)|Vitals (Systolic Blood Pressure),True,2022-09-16
NCT01414816,Betaferon® Regulatory Post-Marketing Surveillance,Betaferon® Regulatory Post-Marketing Surveillance,COMPLETED,2008-04,2012-07,2012-07,2014-08-21,2011-08-11,OBSERVATIONAL,,355.0,ACTUAL,Bayer,INDUSTRY,,,Multiple Sclerosis|Clinically Isolated System,Multiple Sclerosis|Clinical Isolated Syndrome (CIS),South Korea,Many Locations,,1,"Interferon beta-1b (Betaseron, BAY86-5046)",DRUG,Safety variables will be summarized using descriptive statistics based on adverse events.,The efficacy data regarding prevention of relapse due to MS will be estimated based on the number of relapse.|Progression or aggravation to Multiple sclerosis (MS) will be identified based on the change of Expanded Disability Status Scale (EDSS) and the Magnetic Resonance Imaging (MRI) outcome.,False,
NCT05088473,Diagnosic and Pronostic Values of Kappa and Lambda Free Light Chains in Central Nervous System Inflammatory Diseases,Diagnosic and Pronostic Values of Kappa and Lambda Free Light Chains in Central Nervous System Inflammatory Diseases,COMPLETED,2021-10-15,2021-10-31,2021-10-31,2021-11-09,2021-10-22,OBSERVATIONAL,,1500.0,ACTUAL,Centre Hospitalier Universitaire de Nice,OTHER,,,Central Nervous System Diseases|Multiple Sclerosis,multiple sclerosis|kappa free light chains|lambda free light chains,France,Clermont-Ferrand,,14,Biological collection,OTHER,Measurement of cerebrospinal fluid (CSF) and serum kappa and lambda free light chains (KFLC and LFLC)|Measurement of cerebrospinal fluid (CSF) and serum albumin|Evaluation of the diagnostic performances of KFLC and LFLC intrathecal synthesis biomarkers (K/L FLC index and K/L FLC intrathecal fraction (IF)) for multiple sclerosis|Comparison of diagnostic performances of K/L FLC intrathecal synthesis biomarkers to oligoclonal bands (OCB) for multiple sclerosis,Evaluation of clinical data that can alter KFLC and LFLC values,False,
NCT01143441,Investigating Mechanism of Action of DAC HYP in the Treatment of High-Inflammatory Multiple Sclerosis (MS),Investigating Mechanism of Action of DAC HYP in the Treatment of High-Inflammatory Multiple Sclerosis (MS),COMPLETED,2010-05-13,2017-08-11,2017-08-11,2019-11-01,2010-06-14,INTERVENTIONAL,PHASE1,48.0,ACTUAL,National Institute of Neurological Disorders and Stroke (NINDS),NIH,,,"Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting",Multiple Sclerosis|Daclizumab,United States,Bethesda,Maryland,1,DAC-HYP,BIOLOGICAL,Expansion of CD56bright NK cells.|Contraction of lymphoid tissue inducer cells (LTi) cells.|Expansion of double negative T cells.,Long-term safety and tolerability of DAC HYP in high-inflammatory multiple sclerosis (HI-MS) patients who were either previously successfully treated with Zenapax (registered trademark) or without any previous exposure to DC25-targeting therapie...|Secondary Outcome Measure: MRI outcomes Inhibition of the number of contrast-enhancing lesions. T2 lesion load and development of new MS lesions. Clinical/functional outcomesChange in EDSS. Change in Scripps NRS. Change in MSFC.Change in S...,False,
NCT02893683,Paris Visual Learning Test: a New French Task for Assess Visual Learning and Memory to Multiple Sclerosis Patients,Paris Visual Learning Test (PVLT): a New French Task for Assess Visual Learning and Memory to Multiple Sclerosis Patients,COMPLETED,2013-12-19,2017-05-15,2017-05-15,2018-02-12,2016-09-08,OBSERVATIONAL,,50.0,ACTUAL,Fondation Ophtalmologique Adolphe de Rothschild,NETWORK,,,Multiple Sclerosis,Paris Visual Learning Test|visual memory|criterion validity,France,Paris,,1,Paris Visual Learning Test,OTHER,test score,,False,
